         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas1516         Pavarde1516             2.85333            2.4
     Vardas1517         Pavarde1517             4.50667            4.4
     Vardas1518         Pavarde1518             3.50667              3
     Vardas1519         Pavarde1519             4.66667            5.2
      Vardas152          Pavarde152             3.94667            4.4
     Vardas1520         Pavarde1520             3.14667            3.2
     Vardas1521         Pavarde1521             6.21333            6.4
     Vardas1522         Pavarde1522             7.61333            7.8
     Vardas1523         Pavarde1523             5.65333            5.2
     Vardas1524         Pavarde1524             4.18667              4
     Vardas1525         Pavarde1525             7.58667            7.4
     Vardas1526         Pavarde1526             3.66667            3.8
     Vardas1527         Pavarde1527             7.98667            7.8
     Vardas1528         Pavarde1528             5.34667              5
     Vardas1529         Pavarde1529             6.77333            6.4
      Vardas153          Pavarde153             6.62667            6.6
     Vardas1530         Pavarde1530                   8            7.6
     Vardas1531         Pavarde1531                6.96            6.8
     Vardas1532         Pavarde1532                3.52            3.6
     Vardas1533         Pavarde1533                7.96            7.8
     Vardas1534         Pavarde1534             3.82667            4.2
     Vardas1535         Pavarde1535                7.56            7.4
     Vardas1536         Pavarde1536             2.73333            2.6
     Vardas1537         Pavarde1537             5.54667            5.2
     Vardas1538         Pavarde1538             7.78667            7.6
     Vardas1539         Pavarde1539                3.24              3
      Vardas154          Pavarde154                2.92              3
     Vardas1540         Pavarde1540                2.76            2.6
     Vardas1541         Pavarde1541             7.82667            8.2
     Vardas1542         Pavarde1542             2.65333            2.6
     Vardas1543         Pavarde1543             3.98667            3.8
     Vardas1544         Pavarde1544             5.49333            5.2
     Vardas1545         Pavarde1545             6.10667              6
     Vardas1546         Pavarde1546             5.81333            5.6
     Vardas1547         Pavarde1547             7.49333              8
     Vardas1548         Pavarde1548             3.98667            3.8
     Vardas1549         Pavarde1549             4.09333            4.2
      Vardas155          Pavarde155             2.41333            2.2
     Vardas1550         Pavarde1550             3.46667            3.2
     Vardas1551         Pavarde1551             5.53333            6.2
     Vardas1552         Pavarde1552                5.36            4.8
     Vardas1553         Pavarde1553                3.64            3.4
     Vardas1554         Pavarde1554                7.64            7.4
     Vardas1555         Pavarde1555                6.24            6.4
     Vardas1556         Pavarde1556             6.62667              7
     Vardas1557         Pavarde1557             8.61333            8.4
     Vardas1558         Pavarde1558                 2.6              3
     Vardas1559         Pavarde1559             4.93333            5.2
      Vardas156          Pavarde156             5.01333            5.6
     Vardas1560         Pavarde1560             7.09333            7.2
     Vardas1561         Pavarde1561                   3            3.4
     Vardas1562         Pavarde1562             6.13333            6.4
     Vardas1563         Pavarde1563             6.93333            7.2
     Vardas1564         Pavarde1564             8.69333            8.4
     Vardas1565         Pavarde1565             4.42667              4
     Vardas1566         Pavarde1566             5.37333              5
     Vardas1567         Pavarde1567             6.02667              6
